Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.20843656692713297,0.1044776119402985,0.111756168359942,0.1396226415094339,0.6915520529049011,0.1913746630727762,0.111756168359942,0.1342952275249722,0.2109687536640799,0.14693161552093337,0.1406874912856446,0.07387586822219054,0.08390340418109424,0.0,0.0,0.0,0.115566037735849,0.0,0.11843873299358346,0.1044776119402985,0.11352262798686338,0.0766301745532303,0.06918238993710693,0.13222951522022205,0.10447761194029852,0.10447761194029852,0.06679696441389771,0.007686932215234122,0.12287618511217498,0.10447761194029852,0.10447761194029852,0.08582569279822709,0.0687241757315119,0.1698113207547169,0.0,0.1560891938250429,0.09015341718575487,0.06425499620541357
KDDTrain20FS,0.3179270571034035,0.5223692272962975,0.3359240584650292,0.3179270571034035,0.3179270571034035,0.3179270571034035,0.6735712447515062,0.3181159011064876,0.33200770863204004,0.38309502981824783,0.38029896746771863,0.3587170469255684,-0.8256439415090264,0.0,0.0,0.0,0.0,-0.8730760651349543,0.5518707627870771,0.53732385907695,0.5054726887130735,0.49037313067939137,-0.8609307163091868,0.38273887519028676,0.38269407763045915,0.45870464965394664,0.3466615457930326,0.2145691023562506,0.32260467108949886,0.3199531297219808,0.3222768865742742,0.31890094208322595,0.3179270571034035,0.3179270571034035,0.3179270571034035,0.3179270571034035,0.3179270571034035,0.3179270571034035
KDDTrain20ProbeFS,0.126976202363122,0.3520407829175617,0.2663482431197674,0.126976202363122,0.1889784298010341,0.6598870692496819,0.566070101605272,0.126976202363122,0.29395380863102616,0.31241437511741044,0.29106159455113995,0.2287224391007229,-0.1606254241230224,0.0,0.0,0.0,0.0,0.0,0.5994477726968869,0.5633237734077892,0.5971909944444291,0.5155810955574696,-0.10121013706107398,0.4274779316890915,0.36657198899520343,0.3911782038814327,0.3940963375613657,0.3159308949256291,0.13234940490569289,0.14335292668529323,0.13267022179099358,0.13888886815071014,0.126976202363122,0.126976202363122,0.126976202363122,0.126976202363122,0.126976202363122,0.126976202363122
KDDTrain20R2LFS,0.015093622321137,0.0762904468078237,0.0845688945732452,0.0150958354776757,0.0683597434653515,0.0520294939133218,0.1074958868989672,0.0151534899426668,0.18780283976971812,0.17093598431960957,0.1642102342391669,0.2175326980922745,0.12853746643212077,0.0,0.0,0.0,0.0,0.0,0.18277742956533818,0.14551613193620716,0.15924449088602327,0.1849377147874345,0.04818402801997635,0.16309106363545417,0.22900773675391858,0.0966135451528712,0.113221268341691,0.09173592511088549,0.05567074484659621,0.10402873403389286,0.04038230417093782,0.0314164029470364,0.0150869847686421,0.0154352293213039,0.0157759304234962,0.0158562577220399,0.0159255115481133,0.0150869847686421
Average ADJ_MAX_F1,0.167±0.13,0.264±0.21,0.2±0.12,0.15±0.13,0.317±0.27,0.305±0.26,0.365±0.3,0.149±0.13,0.256±0.07,0.253±0.11,0.244±0.11,0.22±0.12,-0.193±0.44,0.0±0.0,0.0±0.0,0.0±0.0,0.029±0.06,-0.218±0.44,0.363±0.25,0.338±0.25,0.344±0.24,0.317±0.22,-0.211±0.44,0.276±0.15,0.271±0.13,0.263±0.19,0.23±0.16,0.157±0.14,0.158±0.11,0.168±0.1,0.15±0.12,0.144±0.12,0.132±0.13,0.158±0.13,0.115±0.15,0.154±0.12,0.138±0.13,0.131±0.13
Average Rank,19.5±11.82,13.75±7.93,15.75±1.26,20.75±8.73,14.75±9.25,11.75±10.75,8.5±7.14,20.5±7.94,8.5±6.95,8.5±3.11,10.25±3.59,14.75±10.81,27.75±12.34,33.0±1.15,33.0±1.15,33.0±1.15,28.0±9.38,34.5±2.52,5.5±5.2,10.0±8.52,8.0±5.29,10.75±10.87,31.25±7.23,8.75±1.71,9.75±6.95,12.25±5.12,16.0±10.23,23.0±10.55,17.5±4.43,17.25±2.22,19.75±2.75,22.0±2.94,26.5±5.32,19.25±9.95,26.25±5.74,19.0±8.91,23.25±1.71,27.0±5.83
